基站编码,LAC,CI
"HUBSC100HWE_HUD4049安吉污水处理厂1800",16990.000000,32767.000000
"HUBSC96HWE_HUB1181南浔开发区方丈港",16978.000000,43674.000000
"HUBSC96HWE_HUB1118南浔开发区罗家兜",16978.000000,35087.000000
"HUBSC94HWE_HUB2041长兴和平回车岭",16981.000000,8276.000000
"HUBSC94HWE_HUB2042长兴和平清水港",16981.000000,8051.000000
"HUBSC96HWE_HUB1161南浔横街屯圩村",16978.000000,35331.000000
"HUBSC96HWE_HUB1162南浔菱湖陈邑",16978.000000,35333.000000
"HUBSC97HWE_HUD3041德清洛舍1800",16992.000000,11117.000000
"HUBSC100HWE_HUD4055安吉递铺余墩1800",16990.000000,32746.000000
"HUBSC98HWE_HUD0214市区湖州大厦1800",16977.000000,31184.000000
"HUBSC99HWE_HUD1025南浔旧馆1800",16976.000000,8462.000000
"HUBSC99HWE_HUD0003吴兴太湖山庄1800",16976.000000,44007.000000
"HUBSC98HWE_HUD0007市区邮政局1800",16977.000000,31128.000000
"HUBSC98HWE_HUD0008市区震远同大楼1800",16977.000000,12079.000000
"HUBSC102HWE_HUD0111吴兴道场1800",16991.000000,31058.000000
"HUBSC102HWE_HUD0126吴兴东林1800",16991.000000,8652.000000
"HUBSC100HWE_HUB4243安吉孝丰鑫凤竹木",16990.000000,43580.000000
"HUBSC100HWE_HUB4249安吉递铺北山坞",16990.000000,43812.000000
"HUBSC96HWE_HUB1160南浔开发区沈庄漾",16978.000000,35327.000000
"HUBSC96HWE_HUB1173南浔重兆桑树港",16978.000000,35516.000000
"HUBSC99HWE_HUB1174南浔申嘉湖和孚收费站",16976.000000,35518.000000
"HUBSC94HWE_HUB2006长兴古城中学",16981.000000,33098.000000
"HUBSC94HWE_HUB2006长兴古城中学",16981.000000,33099.000000
"HUBSC96HWE_HUB1156南浔练市乌林浜",16978.000000,35322.000000
"HUBSC97HWE_HUD3041德清洛舍1800",16992.000000,11118.000000
"HUBSC96HWE_HUB1111南浔开发区江蒋漾",16978.000000,35060.000000
"HUBSC96HWE_HUB1165南浔马腰泗州",16978.000000,35158.000000
"HUBSC102HWE_HUB1124南浔菱湖许联水西",16991.000000,35101.000000
"HUBSC97HWE_HUD3021德清华盛达公司1800",16992.000000,34111.000000
"HUBSC96HWE_HUB1109南浔开发区戴家桥",16978.000000,35003.000000
"HUBSC96HWE_HUB1111南浔开发区江蒋漾",16978.000000,35058.000000
"HUBSC96HWE_HUB1175南浔申嘉湖练市收费站",16978.000000,35580.000000
"HUBSC94HWE_HUB2043长兴吴山三矿",16981.000000,11841.000000
"HUBSC94HWE_HUB2043长兴吴山三矿",16981.000000,11843.000000
"HUBSC96HWE_HUB1161南浔横街屯圩村",16978.000000,35332.000000
"HUBSC100HWE_HUD4202安吉祥溪花园1800",16990.000000,32795.000000
"HUBSC98HWE_HUD0215市区凯欣名座1800",16977.000000,31189.000000
"HUBSC96HWE_HUD1019南浔建行1800",16978.000000,35005.000000
"HUBSC96HWE_HUD1026南浔巨人集团1800",16978.000000,35008.000000
"HUBSC98HWE_HUD0033市区江南粮贸1800",16977.000000,31138.000000
"HUBSC98HWE_HUD0034市区精亮模具厂1800",16977.000000,31084.000000
"HUBSC98HWE_HUD0035市区科兴大厦1800",16977.000000,31089.000000
"HUBSC94HWE_HUD2182长兴水木花都四期1800",16981.000000,43475.000000
"HUBSC100HWE_HUD4219安吉六合盛大酒店1800",16990.000000,32841.000000
"HUBSC100HWE_HUD4219安吉六合盛大酒店1800",16990.000000,32843.000000
"HUBSC99HWE_HUD0425吴兴织里中心花园1800",16976.000000,43552.000000
"HUBSC98HWE_HUD0225市区众鑫广场1800",16977.000000,31248.000000
"HUBSC94HWE_HUB2041长兴和平回车岭",16981.000000,8277.000000
"HUBSC96HWE_HUB1161南浔横街屯圩村",16978.000000,35330.000000
"HUBSC96HWE_HUB1167南浔开发区丁家桥",16978.000000,35419.000000
"HUBSC96HWE_HUB1182南浔练市长城家园",16978.000000,43730.000000
"HUBSC96HWE_HUB1156南浔练市乌林浜",16978.000000,35323.000000
"HUBSC100HWE_HUD4063安吉工行1800",16990.000000,32585.000000
"HUBSC94HWE_HUB2038长兴和平2",16981.000000,8382.000000
"HUBSC94HWE_HUB2039长兴和平长城",16981.000000,10995.000000
"HUBSC98HWE_HUD0045市区丝绸城1800",16977.000000,31271.000000
"HUBSC100HWE_HUB4253安吉味全乳业",16990.000000,43752.000000
"HUBSC100HWE_HUB4259安吉安城水泥厂",16990.000000,43914.000000
"HUBSC95HWE_HUB4264安吉南北庄大观桥",16990.000000,43892.000000
"HUBSC98HWE_HUD0038市区临湖桥1800",16977.000000,12110.000000
"HUBSC99HWE_HUD0205吴兴织里宾馆1800",16976.000000,9757.000000
"HUBSC99HWE_HUD0456吴兴白雀桥东1800",16976.000000,43711.000000
"HUBSC94HWE_HUD2182长兴水木花都四期1800",16981.000000,43477.000000
"HUBSC94HWE_HUD2184长兴雉城金宇金城1800",16981.000000,43443.000000
"HUBSC96HWE_HUB1144南浔开发区祜村张王村",16978.000000,35207.000000
"HUBSC96HWE_HUB1145南浔开发区同庆桥",16978.000000,35212.000000
"HUBSC100HWE_HUB4249安吉递铺北山坞",16990.000000,43813.000000
"HUBSC100HWE_HUD4223安吉卫生院1800",16990.000000,32877.000000
"HUBSC98HWE_HUD0023市区核262所1800",16977.000000,31069.000000
"HUBSC96HWE_HUB1148南浔开发区斜河村",16978.000000,35307.000000
"HUBSC94HWE_HUB2012长兴林业局",16981.000000,33112.000000
"HUBSC94HWE_HUB2013长兴民政大楼",16981.000000,33116.000000
"HUBSC94HWE_HUB2014长兴轻纺城",16981.000000,33121.000000
"HUBSC94HWE_HUB2014长兴轻纺城",16981.000000,33123.000000
"HUBSC98HWE_HUD0040市区汽车东站1800",16977.000000,31033.000000
"HUBSC98HWE_HUD0043市区市陌1800",16977.000000,31110.000000
"HUBSC96HWE_HUB1139南浔开发区杨家坝",16978.000000,35194.000000
"HUBSC94HWE_HUB2019长兴邮政大楼",16981.000000,33147.000000
"HUBSC96HWE_HUB1141南浔练市荃步",16978.000000,35199.000000
"HUBSC98HWE_HUD0043市区市陌1800",16977.000000,31112.000000
"HUBSC98HWE_HUD0214市区湖州大厦1800",16977.000000,31183.000000
"HUBSC98HWE_HUD0048市区奚家庄1800",16977.000000,31127.000000
"HUBSC98HWE_HUD0049市区新富豪大酒店1800",16977.000000,31301.000000
"HUBSC99HWE_HUD0201吴兴织里镇北1800",16976.000000,31320.000000
"HUBSC98HWE_HUD0448市区日月城二期1800",16977.000000,43703.000000
"HUBSC102HWE_HUD0082吴兴杨家埠弁南1800",16991.000000,8332.000000
"HUBSC96HWE_HUB1153南浔菱湖南商林老机埠",16978.000000,35315.000000
"HUBSC94HWE_HUB2042长兴和平清水港",16981.000000,8053.000000
"HUBSC96HWE_HUB1157南浔开发区谈家湾",16978.000000,43460.000000
"HUBSC96HWE_HUB1157南浔开发区谈家湾",16978.000000,43462.000000
"HUBSC96HWE_HUB1116南浔开发区新雅木业",16978.000000,35079.000000
"HUBSC94HWE_HUD2150长兴水木花都1800",16981.000000,33384.000000
"HUBSC94HWE_HUD2159长兴环卫处1800",16981.000000,33404.000000
"HUBSC94HWE_HUD2160长兴雉城三星斗1800",16981.000000,33525.000000
"HUBSC94HWE_HUD2161长兴天云大厦1800",16981.000000,33414.000000
"HUBSC94HWE_HUB2055长兴洪桥排田漾",16981.000000,8607.000000
"HUBSC96HWE_HUB1133南浔浔东村委",16978.000000,35140.000000
"HUBSC102HWE_HUD0311市区人防办1800",16991.000000,31865.000000
"HUBSC100HWE_HUB4232安吉高禹二监区",16990.000000,35442.000000
"HUBSC100HWE_HUB4233安吉高禹四监区",16990.000000,35446.000000
"HUBSC98HWE_HUD0212市区枫丹白露1800",16977.000000,31167.000000
"HUBSC94HWE_HUB2021长兴雉城城南开发区",16981.000000,33163.000000
"HUBSC99HWE_HUB1174南浔申嘉湖和孚收费站",16976.000000,35519.000000
"HUBSC101HWE_HUB2036长兴雉城渚山",16981.000000,33280.000000
"HUBSC94HWE_HUB2038长兴和平2",16981.000000,8381.000000
"HUBSC94HWE_HUB2038长兴和平2",16981.000000,8383.000000
"HUBSC100HWE_HUB4253安吉味全乳业",16990.000000,43751.000000
"HUBSC100HWE_HUB4256安吉山川马家弄",16990.000000,43708.000000
"HUBSC100HWE_HUB4260安吉安城村委",16990.000000,43775.000000
"HUBSC94HWE_HUD2184长兴雉城金宇金城1800",16981.000000,43442.000000
"HUBSC102HWE_HUSFB0041A",16991.000000,31515.000000
"HUBSC100HWE_HUD4018安吉递铺安城1800",16990.000000,43875.000000
"HUBSC98HWE_HUSFB0032A",16977.000000,31740.000000
"HUBSC96HWE_HUB1176南浔和孚汤家港",16978.000000,35604.000000
"HUBSC96HWE_HUB1119南浔开发区主题公园",16978.000000,35089.000000
"HUBSC96HWE_HUD1149南浔行政中心1800",16978.000000,35239.000000
"HUBSC100HWE_HUD4164安吉新党校1800",16990.000000,32554.000000
"HUBSC98HWE_HUD0010市区中行1800",16977.000000,12269.000000
"HUBSC98HWE_HUD0015市区潮音大厦1800",16977.000000,12174.000000
"HUBSC98HWE_HUD0016市区城建处1800",16977.000000,12238.000000
"HUBSC98HWE_HUD0018市区凤凰派出所1800",16977.000000,31048.000000
"HUBSC100HWE_HUD4244安吉递铺社会福利院1800",16990.000000,43642.000000
"HUBSC98HWE_HUD0039市区农垦大楼1800",16977.000000,12045.000000
"HUBSC98HWE_HUD0041市区秋氏服饰1800",16977.000000,8399.000000
"HUBSC102HWE_HUD0042市区仁皇山庄小区1800",16991.000000,31473.000000
"HUBSC96HWE_HUB1137南浔开发区思进小学",16978.000000,35188.000000
"HUBSC96HWE_HUB1138南浔开发区同心村机埠",16978.000000,35191.000000
"HUBSC98HWE_HUD0312市区百合公寓1800",16977.000000,43404.000000
"HUBSC98HWE_HUD0212市区枫丹白露1800",16977.000000,31169.000000
"HUBSC96HWE_HUB1154南浔洋南百米塘",16978.000000,35319.000000
"HUBSC96HWE_HUB1110南浔开发区宏力门业",16978.000000,35052.000000
"HUBSC100HWE_HUB4233安吉高禹四监区",16990.000000,35445.000000
"HUBSC98HWE_HUD0215市区凯欣名座1800",16977.000000,31190.000000
"HUBSC102HWE_HUD1013南浔下昂1800",16991.000000,8629.000000
"HUBSC99HWE_HUD1025南浔旧馆1800",16976.000000,8461.000000
"HUBSC100HWE_HUD4015安吉汽车站1800",16990.000000,32580.000000
"HUBSC98HWE_HUD0035市区科兴大厦1800",16977.000000,31090.000000
"HUBSC96HWE_HUB1119南浔开发区主题公园",16978.000000,35090.000000
"HUBSC94HWE_HUB2041长兴和平回车岭",16981.000000,8278.000000
"HUBSC94HWE_HUB2044长兴吴山韦山",16981.000000,8375.000000
"HUBSC94HWE_HUB2046长兴和平",16981.000000,11425.000000
"HUBSC96HWE_HUB1152南浔开发区李家河",16978.000000,35314.000000
"HUBSC96HWE_HUB1177南浔申嘉湖双林收费站",16978.000000,43555.000000
"HUBSC94HWE_HUB2045长兴和平乌盘山",16981.000000,12244.000000
"HUBSC96HWE_HUB1157南浔开发区谈家湾",16978.000000,43461.000000
"HUBSC98HWE_HUD0298市区余家漾汀州苑1800",16977.000000,31598.000000
"HUBSC99HWE_HUD0299吴兴织里农贸市场1800",16976.000000,31730.000000
"HUBSC99HWE_HUD0300吴兴织里利娇制衣1800",16976.000000,31732.000000
"HUBSC100HWE_HUD4191安吉雅典皇宫1800",16990.000000,32744.000000
"HUBSC99HWE_HUD0261吴兴织里精茵园林1800",16976.000000,31411.000000
"HUBSC98HWE_HUD0246吴兴美欣达工业园1800",16977.000000,31423.000000
"HUBSC96HWE_HUD1063南浔区委北大院1800",16978.000000,35112.000000
"HUBSC94HWE_HUD2023长兴雉城明门1800",16981.000000,33312.000000
"HUBSC94HWE_HUD2046长兴和平1800",16981.000000,11436.000000
"HUBSC100HWE_HUD4187安吉商贸广场1800",16990.000000,32729.000000
"HUBSC96HWE_HUB1170南浔双林凌家堰",16978.000000,35481.000000
"HUBSC96HWE_HUB1197南浔练市新联村",16978.000000,43953.000000
"HUBSC102HWE_HUB1122南浔菱湖下昂施家墩",16991.000000,35103.000000
"HUBSC100HWE_HUB4231安吉塘浦工业园净土",16990.000000,35400.000000
"HUBSC100HWE_HUD4258安吉公共资源服务中心1800",16990.000000,43718.000000
"HUBSC98HWE_HUD0041市区秋氏服饰1800",16977.000000,8397.000000
"HUBSC102HWE_HUD0042市区仁皇山庄小区1800",16991.000000,31475.000000
"HUBSC94HWE_HUB2021长兴雉城城南开发区",16981.000000,33161.000000
"HUBSC96HWE_HUB1142南浔双林倪家滩",16978.000000,35203.000000
"HUBSC98HWE_HUD0025市区湖州饭店1800",16977.000000,12286.000000
"HUBSC96HWE_HUB1165南浔马腰泗州",16978.000000,35160.000000
"HUBSC96HWE_HUB1158南浔开发区双塘村",16978.000000,35184.000000
"HUBSC100HWE_HUD4063安吉工行1800",16990.000000,32583.000000
"HUBSC98HWE_HUD0047市区吴兴法院大楼1800",16977.000000,31268.000000
"HUBSC100HWE_HUB4252安吉递铺双一李村",16990.000000,43902.000000
"HUBSC100HWE_HUB4256安吉山川马家弄",16990.000000,43706.000000
"HUBSC98HWE_HUD0447市区日月城三期1800",16977.000000,43684.000000
"HUBSC102HWE_HUD0453吴兴杨家埠民盛花园1800",16991.000000,43861.000000
"HUBSC94HWE_HUD2165长兴城东派出所1800",16981.000000,33434.000000
"HUBSC98HWE_HUSFB0007A",16977.000000,31574.000000
"HUBSC100HWE_HUD4202安吉祥溪花园1800",16990.000000,32794.000000
"HUBSC98HWE_HUD0052市区余家漾小区1800",16977.000000,31079.000000
"HUBSC98HWE_HUD0053市区浙北大酒店1800",16977.000000,31728.000000
"HUBSC102HWE_HUD0074吴兴白雀垄山1800",16991.000000,31095.000000
"HUBSC94HWE_HUD2002长兴雉城五丰1800",16981.000000,33334.000000
"HUBSC94HWE_HUD2003长兴第二水厂1800",16981.000000,33285.000000
"HUBSC94HWE_HUD2005长兴雉城高山岭1800",16981.000000,33339.000000
"HUBSC96HWE_HUB1131南浔双林显洪村委",16978.000000,35134.000000
"HUBSC94HWE_HUB2002长兴雉城五丰",16981.000000,33075.000000
"HUBSC98HWE_HUD0302市区98医院1800",16977.000000,31604.000000
"HUBSC96HWE_HUD1087南浔浔东1800",16978.000000,35024.000000
"HUBSC94HWE_HUD2011长兴科技创业园1800",16981.000000,33365.000000
"HUBSC102HWE_HUD0126吴兴东林1800",16991.000000,8653.000000
"HUBSC98HWE_HUD0128吴兴环渚后庄1800",16977.000000,8603.000000
"HUBSC100HWE_HUD4049安吉污水处理厂1800",16990.000000,32766.000000
"HUBSC100HWE_HUB4252安吉递铺双一李村",16990.000000,43901.000000
"HUBSC99HWE_HUD0306吴兴织里童装城1800",16976.000000,31804.000000
"HUBSC99HWE_HUD0456吴兴白雀桥东1800",16976.000000,43709.000000
"HUBSC100HWE_HUB4237安吉高禹古苑",16990.000000,35568.000000
"HUBSC101HWE_HUB2034长兴雉城后漾",16981.000000,33068.000000
"HUBSC101HWE_HUB2035长兴雉城牛步墩",16981.000000,33119.000000
"HUBSC94HWE_HUB2037长兴李家巷长湖监狱",16981.000000,12193.000000
"HUBSC94HWE_HUB2040长兴和平港口",16981.000000,10928.000000
"HUBSC100HWE_HUB4260安吉安城村委",16990.000000,43777.000000
"HUBSC98HWE_HUD0303市区康城国际8号楼1800",16977.000000,31145.000000
"HUBSC98HWE_HUD0209市区残联大楼1800",16977.000000,31109.000000
"HUBSC100HWE_HUD4027安吉高级中学1800",16990.000000,32646.000000
"HUBSC94HWE_HUD2014长兴轻纺城1800",16981.000000,33305.000000
"HUBSC94HWE_HUB2026长兴和平城山",16981.000000,35528.000000
"HUBSC96HWE_HUB1169南浔洗粉兜",16978.000000,35470.000000
"HUBSC96HWE_HUB1135南浔开发区蔡介阧",16978.000000,35180.000000
"HUBSC94HWE_HUD2161长兴天云大厦1800",16981.000000,33413.000000
"HUBSC94HWE_HUB2016长兴商业局",16981.000000,33126.000000
"HUBSC94HWE_HUD2006长兴古城中学1800",16981.000000,33342.000000
"HUBSC96HWE_HUB1128南浔双林东双林村委",16978.000000,35126.000000
"HUBSC99HWE_HUD0461吴兴织里污水站1800",16976.000000,43767.000000
"HUBSC99HWE_HUD0467吴兴道场红口山1800",16976.000000,43906.000000
"HUBSC96HWE_HUB1159南浔含山工业园",16978.000000,35326.000000
"HUBSC94HWE_HUB2055长兴洪桥排田漾",16981.000000,8608.000000
"HUBSC94HWE_HUB2057长兴李家巷赵家桥",16981.000000,8268.000000
"HUBSC102HWE_HUD0333吴兴白雀新体育馆1800",16991.000000,43422.000000
"HUBSC102HWE_HUD0334市区在水一方二1800",16991.000000,8764.000000
"HUBSC102HWE_HUD0334市区在水一方二1800",16991.000000,8765.000000
"HUBSC96HWE_HUD1134南浔之江花园1800",16978.000000,43432.000000
"HUBSC100HWE_HUD4030安吉供销大楼1800",16990.000000,32211.000000
"HUBSC100HWE_HUD4033安吉递铺黄墅1800",16990.000000,32706.000000
"HUBSC96HWE_HUB1163南浔练市定泉花园",16978.000000,35369.000000
"HUBSC102HWE_HUD0324吴兴杨家埠污水泵站1800",16991.000000,43851.000000
"HUBSC98HWE_HUD0049市区新富豪大酒店1800",16977.000000,31299.000000
"HUBSC102HWE_HUSFB0005B",16979.000000,31557.000000
"HUBSC98HWE_HUSFB0007C",16977.000000,31767.000000
"HUBSC100HWE_HUD4201安吉东光食品1800",16990.000000,32789.000000
"HUBSC98HWE_HUD0274市区湖州职校实训楼1800",16977.000000,31131.000000
"HUBSC94HWE_HUD2003长兴第二水厂1800",16981.000000,33283.000000
"HUBSC94HWE_HUD2005长兴雉城高山岭1800",16981.000000,33337.000000
"HUBSC96HWE_HUB1199南浔练市阳光家园",16978.000000,43949.000000
"HUBSC96HWE_HUB1199南浔练市阳光家园",16978.000000,43951.000000
"HUBSC94HWE_HUB2001长兴城建开发总公司",16981.000000,33071.000000
"HUBSC94HWE_HUB2002长兴雉城五丰",16981.000000,33073.000000
"HUBSC96HWE_HUB1132南浔兴发建筑五金",16978.000000,35137.000000
"HUBSC100HWE_HUD4188安吉递铺尚意空间1800",16990.000000,32735.000000
"HUBSC94HWE_HUB2006长兴古城中学",16981.000000,33100.000000
"HUBSC102HWE_HUB1124南浔菱湖许联水西",16991.000000,35100.000000
"HUBSC97HWE_HUD3020德清桂花城1800",16992.000000,34103.000000
"HUBSC97HWE_HUD3021德清华盛达公司1800",16992.000000,34110.000000
"HUBSC98HWE_HUD0211市区房总锦绣苑1800",16977.000000,31162.000000
"HUBSC98HWE_HUD0302市区98医院1800",16977.000000,31605.000000
"HUBSC99HWE_HUD0205吴兴织里宾馆1800",16976.000000,9759.000000
"HUBSC98HWE_HUD0455市区星汇半岛小区1800",16977.000000,43788.000000
"HUBSC98HWE_HUSFB0038B",16977.000000,31488.000000
"HUBSC94HWE_HUD2218长兴射击中心1800",16981.000000,35621.000000
"HUBSC96HWE_HUB1160南浔开发区沈庄漾",16978.000000,35328.000000
"HUBSC96HWE_HUB1175南浔申嘉湖练市收费站",16978.000000,35579.000000
"HUBSC96HWE_HUB1170南浔双林凌家堰",16978.000000,35479.000000
"HUBSC96HWE_HUB1197南浔练市新联村",16978.000000,43954.000000
"HUBSC99HWE_HUB0182吴兴八里店后林",16976.000000,11108.000000
"HUBSC99HWE_HUB0183吴兴织里金丰源",16976.000000,11149.000000
"HUBSC99HWE_HUB0183吴兴织里金丰源",16976.000000,11151.000000
"HUBSC96HWE_HUB1169南浔洗粉兜",16978.000000,35472.000000
"HUBSC96HWE_HUB1171南浔练市南召林",16978.000000,35486.000000
"HUBSC96HWE_HUB1198南浔练市练溪大桥",16978.000000,43956.000000
"HUBSC96HWE_HUB1147南浔菱湖荻港老镇区",16978.000000,35217.000000
"HUBSC94HWE_HUB2011长兴科技创业园",16981.000000,33286.000000
"HUBSC95HWE_HUD4242安吉农村信用联社1800",16990.000000,43538.000000
"HUBSC97HWE_HUD3195德清武康英溪大桥1800",16992.000000,34167.000000
"HUBSC97HWE_HUD3197德清武康格兰维亚1800",16992.000000,43465.000000
"HUBSC100HWE_HUB4231安吉塘浦工业园净土",16990.000000,35399.000000
"HUBSC100HWE_HUB4232安吉高禹二监区",16990.000000,35441.000000
"HUBSC98HWE_HUD0038市区临湖桥1800",16977.000000,12111.000000
"HUBSC98HWE_HUD0039市区农垦大楼1800",16977.000000,12046.000000
"HUBSC94HWE_HUB2021长兴雉城城南开发区",16981.000000,33162.000000
"HUBSC96HWE_HUB1142南浔双林倪家滩",16978.000000,35202.000000
"HUBSC99HWE_HUB1184南浔旧馆富钢集团",16976.000000,43729.000000
"HUBSC99HWE_HUD0430吴兴织里晟舍巨龙纺织1800",16976.000000,43635.000000
"HUBSC97HWE_HUD3096德清私营城1800",16992.000000,34034.000000
"HUBSC94HWE_HUB2057长兴李家巷赵家桥",16981.000000,8266.000000
"HUBSC96HWE_HUB1147南浔菱湖荻港老镇区",16978.000000,35216.000000
"HUBSC94HWE_HUB2027长兴凡市",16981.000000,33194.000000
"HUBSC94HWE_HUB2028长兴和平方家庄",16981.000000,33007.000000
"HUBSC94HWE_HUB2030长兴和平深碛",16981.000000,33167.000000
"HUBSC94HWE_HUD2142长兴缤纷时代娱乐城1800",16981.000000,33331.000000
"HUBSC98HWE_HUD0332市区日丽风和1800",16977.000000,43410.000000
"HUBSC94HWE_HUB2017长兴雉城下箬寺",16981.000000,33133.000000
"HUBSC100HWE_HUD4245安吉竹海御景园1800",16990.000000,43656.000000
"HUBSC100HWE_HUD4029安吉供电局1800",16990.000000,32639.000000
"HUBSC100HWE_HUD4031安吉电信局1800",16990.000000,32765.000000
"HUBSC100HWE_HUD4084安吉和春大酒店1800",16990.000000,32588.000000
"HUBSC94HWE_HUB2046长兴和平",16981.000000,11426.000000
"HUBSC100HWE_HUD4195安吉江南红大酒店1800",16990.000000,32675.000000
